Code	Scientific	Common	Reverse
6653	'Columba livia neglecta'	'NA'	'Columba livia neglecta'
6654	'Columba livia schimperi'	'NA'	'Columba livia schimperi'
6655	'Columba livia dakhlae'	'NA'	'Columba livia dakhlae'
6656	'Columba livia targia'	'NA'	'Columba livia targia'
6657	'Columba livia domestica'	'Domestic pigeon'	'Columba livia domestica'
6660	'Columba rupestris'	'Hill Pigeon'	'Columba rupestris'
6670	'Columba leuconota'	'Snow pigeon'	'Columba leuconota'
6680	'Columba oenas'	'Stock pigeon'	'Columba oenas'
6690	'Columba eversmanni'	'Pale-backed pigeon'	'Columba eversmanni'
6700	'Columba palumbus'	'Common wood pigeon'	'Columba palumbus'
6710	'Columba trocaz'	'Trocaz pigeon'	'Columba trocaz'
6720	'Columba bollii'	'Bolle\'s Pigeon'	'Columba bollii'
6730	'Columba junoniae'	'Laurel Pigeon'	'Columba junoniae'
6740	'Columba hodgsonii'	'Speckled Wood Pigeon'	'Columba hodgsonii'
6750	'Columba pulchricollis'	'Ashy Wood Pigeon'	'Columba pulchricollis'
6760	'Columba janthina'	'Japanese Wood Pigeon'	'Columba janthina'
6770	'Columba versicolor'	'Bonin Wood Pigeon'	'Columba versicolor'
6780	'Columba jouyi'	'Ryukyu Wood Pigeon'	'Columba jouyi'
6790	'Columba leucocephala'	'NA'	'Columba leucocephala'
6800	'Columba squamosa'	'NA'	'Columba squamosa'
6810	'Columba fasciata'	'band-tailed pigeon'	'Columba fasciata'
6820	'Columba flavirostris'	'red-billed pigeon'	'Columba flavirostris'
6829	'Columba sp.'	'Laurel Pigeon'	'Columba'
6830	'Streptopelia roseogrisea'	'African Collared-Dove'	'Streptopelia roseogrisea'
6831	'Streptopelia risoria f. domest.'	'ringed turtle-dove'	'Streptopelia risoria'
6840	'Streptopelia decaocto'	'Eurasian Collared-Dove'	'Streptopelia decaocto'
6850	'Streptopelia semitorquata'	'Red-eyed Dove'	'Streptopelia semitorquata'
6860	'Streptopelia tranquebarica'	'Red Collared-Dove'	'Streptopelia tranquebarica'
