'IDENT1'	'SYSTEM1'	'IDENT2_NOPREFIX'	'Level'	'LAT_NAME'	'EN_NAME'	'DESC_LINK'	'BODY_LENGTH[cm]'	'WING_SPAN[cm]'						'GROUP_KEY_1'	'GROUP_KEY_2'	'GROUP_KEY_3'	'valid_authority'	'LOC_KEY'	'REST_LINK'	'MIG_LINK'	'FOTO_LINK'	'AERIAL_LINK'	'SCHEMA_LINK'	'MES_LINK'	'STS_LAW'
'E_1810'	'EURING'	'1810'	'S'	'Anas falcata'	'Falcated Teal'	'https://avibase.ca/978D4485 '	'46-53'	'79-91'						'Waterbird'	'Duck'	'known'									
'CU_1811'	'Custom'	'1811'	'S'	'Anas carolinensis'	'Green-Winged Teal'	'https://avibase.ca/DE24B98D '	36	61						'Waterbird'	'Duck'	'known'									
'E_1820'	'EURING'	'1820'	'S'	'Anas strepera'	'Gadwall'	'https://avibase.ca/C235A4D7 '	'46-56'	'84-95'						'Waterbird'	'Duck'	'known'									
'E_1830'	'EURING'	'1830'	'S'	'Anas formosa'	'Baikal Teal'	'https://avibase.ca/63EABB42 '	'39-43'	'180-220'						'Waterbird'	'Duck'	'known'									
'E_1840'	'EURING'	'1840'	'S'	'Anas crecca'	'Eurasian Teal'	'https://avibase.ca/115F04DD '	'34-38'	'58-64'						'Waterbird'	'Duck'	'known'									
'E_1860'	'EURING'	'1860'	'S'	'Anas platyrhynchos'	'Mallard'	'https://avibase.ca/85625D75 '	'51-62'	'81-98'						'Waterbird'	'Duck'	'known'									
'E_1890'	'EURING'	'1890'	'S'	'Anas acuta'	'Northern Pintail'	'https://avibase.ca/56CCA717 '	'51-76'	'236-282'						'Waterbird'	'Duck'	'known'									
'E_1910'	'EURING'	'1910'	'S'	'Anas querquedula'	'Garganey'	'https://avibase.ca/F577BA0F '	'37-41'	'60-63'						'Waterbird'	'Duck'	'known'									
'E_1920'	'EURING'	'1920'	'S'	'Anas discors'	'Blue-winged Teal'	'https://avibase.ca/90E2543E '	'36-41'	'56-62'						'Waterbird'	'Duck'	'known'									
'E_1940'	'EURING'	'1940'	'S'	'Anas clypeata'	'Northern Shoveler'	'https://avibase.ca/ED4CE8E7 '	'44-52'	'70-84'						'Waterbird'	'Duck'	'known'									
'CU_1949'	'Custom'	'1949'	'UI'	'Anas sp.'	'unidentified swimming duck'									'Waterbird'	'Duck'	'unknown'									
'E_1960'	'EURING'	'1960'	'S'	'Netta rufina'	'Red-crested Pochard'	'https://avibase.ca/3EC2CDA9 '	'53-57'	'85-90'						'Waterbird'	'Duck'	'known'									
'E_1980'	'EURING'	'1980'	'S'	'Aythya ferina'	'Common Pochard'	'https://avibase.ca/A96692E0 '	46	77						'Waterbird'	'Duck'	'known'									
'E_2030'	'EURING'	'2030'	'S'	'Aythya fuligula'	'Tufted Duck'	'https://avibase.ca/67CEA1C1 '	'40-47'	'67-73'						'Waterbird'	'Duck'	'known'									
'E_2040'	'EURING'	'2040'	'S'	'Aythya marila'	'Greater Scaup'	'https://avibase.ca/25C94A8F '	'42-51'	'67-78'						'Waterbird'	'Duck'	'known'									
'E_2050'	'EURING'	'2050'	'S'	'Aythya affinis'	'Lesser Scaup'	'https://avibase.ca/50566E50 '	'39-46'	'68-78'						'Waterbird'	'Duck'	'known'									
'CU_2059'	'Custom'	'2059'	'UI'	'Aythya sp.'	'unidentified diving duck'									'Waterbird'	'Duck'	'unknown'									
'E_2060'	'EURING'	'2060'	'S'	'Somateria mollissima'	'Common Eider'	'https://avibase.ca/B77377EE '	'50-71'	'80-108'						'Waterbird'	'Duck'	'known'									
'E_2070'	'EURING'	'2070'	'S'	'Somateria spectabilis'	'King Eider'	'https://avibase.ca/F3D74914 '	'46-64'	'89-102'						'Waterbird'	'Duck'	'known'									
'E_2090'	'EURING'	'2090'	'S'	'Polysticta stelleri'	'Steller''s Eider'	'https://avibase.ca/BA07D016 '	'43-47'	'70-76'						'Waterbird'	'Duck'	'known'									
'E_2120'	'EURING'	'2120'	'S'	'Clangula hyemalis'	'Long-tailed Duck'	'https://avibase.ca/AF0C7BDE '	'58-60'	'73-79'						'Waterbird'	'Duck'	'known'									
'E_2130'	'EURING'	'2130'	'S'	'Melanitta nigra'	'Common Scoter'	'https://avibase.ca/24698199 '	'44-54'	'79-90'						'Waterbird'	'Duck'	'known'									
'CU_2139'	'Custom'	'2139'	'SG'	'M. nigra / M. fusca'	'Common/Velvet Scoter'									'Waterbird'	'Duck'	'known'									
'E_2140'	'EURING'	'2140'	'S'	'Melanitta perspicillata'	'Surf Scoter'	'https://avibase.ca/624078BA '	50	85						'Waterbird'	'Duck'	'known'									
'CU_2141'	'Custom'	'2141'	'S'	'Melanitta deglandi'	'White-winged Scoter'	'https://avibase.ca/4800D6B6 '	'50.8-55 '							'Waterbird'	'Duck'	'known'									
'E_2150'	'EURING'	'2150'	'S'	'Melanitta fusca'	'Velvet Scoter'	'https://avibase.ca/BAF44E36 '	'52-59'	'90-99'						'Waterbird'	'Duck'	'known'									
'E_2170'	'EURING'	'2170'	'S'	'Bucephala islandica'	'Barrow''s Goldeneye '	'https://avibase.ca/9456DEDF '	'43-48'	'68.58-76.2'						'Waterbird'	'Duck'	'known'									
'E_2180'	'EURING'	'2180'	'S'	'Bucephala clangula'	'Common Goldeneye'	'https://avibase.ca/68EA281A '	'42-50'	'65-80'						'Waterbird'	'Duck'	'known'									
'E_2200'	'EURING'	'2200'	'S'	'Mergus albellus'	'Smew'	'https://avibase.ca/F1F52036 '	'36-44'	'55-69'						'Waterbird'	'Duck'	'known'									
'E_2210'	'EURING'	'2210'	'S'	'Mergus serrator'	'Red-breasted Merganser'	'https://avibase.ca/8DB64266 '	55	78						'Waterbird'	'Duck'	'known'									
'E_2230'	'EURING'	'2230'	'S'	'Mergus merganser'	'Goosander'	'https://avibase.ca/407E2CA8 '	'58-66'	'82-97'						'Waterbird'	'Duck'	'known'									
'CU_2231'	'Custom'	'2231'	'S'	'Lophodytes cucullatus'	'Hooded Merganser'	'https://avibase.ca/60E6081E '	'40-49'							'Waterbird'	'Duck'	'known'									
'CU_2239'	'Custom'	'2239'	'UI'	'Mergus sp.'	'unidentified merganser/goosander'									'Waterbird'	'Duck'	'unknown'									
'CU_2269'	'Custom'	'2269'	'UI'	'Anatinae'	'unidentified duck'									'Waterbird'	'Duck'	'unknown'									
'E_2310'	'EURING'	'2310'	'S'	'Pernis apivorus'	'European Honey-Buzzard'	'https://avibase.ca/ED5A7E8F '	'52-60'	'135-150'						'Bird of prey'	'Buzzard'	'known'									
'E_2340'	'EURING'	'2340'	'S'	'Elanus leucurus'	'White-tailed Kite'	'https://avibase.ca/CAA5E106 '	'35-43'	'88-102'						'Bird of prey'	'Kite'	'known'									
'E_2380'	'EURING'	'2380'	'S'	'Milvus migrans'	'Black Kite'	'https://avibase.ca/C1C255AA '	'47-60'	'140-150'						'Bird of prey'	'Kite'	'known'									
'E_2390'	'EURING'	'2390'	'S'	'Milvus milvus'	'Red Kite'	'https://avibase.ca/4E76C8C0 '	'60-66'	'175-195'						'Bird of prey'	'Kite'	'known'									
'E_2430'	'EURING'	'2430'	'S'	'Haliaeetus albicilla'	'White-tailed Eagle'	'https://avibase.ca/5A3D91D3 '	'70-90'	'200-240'						'Bird of prey'	'Eagle'	'known'									
'E_2440'	'EURING'	'2440'	'S'	'Haliaeetus leucocephalus'	'Bald Eagle'	'https://avibase.ca/FED3756C '	'79-94'	'178-229'						'Bird of prey'	'Eagle'	'known'									
'CU_2441'	'Custom'	'2441'	'S'	'Clanga clanga'	'Greater Spotted Eagle'	'https://avibase.ca/BAC4CA22 '	'62-74'	168						'Bird of prey'	'Eagle'	'known'									
'E_2600'	'EURING'	'2600'	'S'	'Circus aeruginosus'	'Eurasian Marsh Harrier'	'https://avibase.ca/E2A19474 '	'48-56'	'115-130'						'Bird of prey'	'Harrier'	'known'									
'E_2610'	'EURING'	'2610'	'S'	'Circus cyaneus'	'Hen Harrier'	'https://avibase.ca/F558C7F9 '	'44-52'	'100-120'						'Bird of prey'	'Harrier'	'known'									
'E_2620'	'EURING'	'2620'	'S'	'Circus macrourus'	'Pallid Harrier'	'https://avibase.ca/22647E26 '	44	108						'Bird of prey'	'Harrier'	'known'									
'E_2630'	'EURING'	'2630'	'S'	'Circus pygargus'	'Montagu''s Harrier'	'https://avibase.ca/63B6412E '	'43-47'	'100-120'						'Bird of prey'	'Harrier'	'known'									
'E_2670'	'EURING'	'2670'	'S'	'Accipiter gentilis'	'Northern Goshawk'	'https://avibase.ca/420850D6 '	'48-62'	'135-165'						'Bird of prey'	'Hawk'	'known'									
'E_2690'	'EURING'	'2690'	'S'	'Accipiter nisus'	'Eurasian Sparrowhawk'	'https://avibase.ca/DB376A66 '	'28-38'	'55-70'						'Bird of prey'	'Hawk'	'known'									
'E_2870'	'EURING'	'2870'	'S'	'Buteo buteo'	'Common Buzzard'	'https://avibase.ca/3C6D4915 '	'51-57'	'113-128'						'Bird of prey'	'Buzzard'	'known'									
'E_2900'	'EURING'	'2900'	'S'	'Buteo lagopus'	'Rough-legged Buzzard'	'https://avibase.ca/90B13ACF '	'50-60'	'120-150'						'Bird of prey'	'Buzzard'	'known'									
